FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
8093,"Park County, Colorado",COLORADO,0.0847,0.1288,0.0517,0,Very Low Vulnerability,0.18,Very Low Concern,0.309,0.0611,0.0029,0.0056,0.0015,0.0013,0.8895
6011,"Colusa County, California",CALIFORNIA,0.0821,0.1284,0.041,0.74,High Vulnerability,0.84,Very High Concern,0.474,0.5937,0.0067,0.0127,0.0119,0.0018,0.3531
5125,"Saline County, Arkansas",ARKANSAS,0.198,0.2364,0.1292,0.33,Low Vulnerability,0.32,Low Concern,0.39,0.0476,0.0032,0.0127,0.0709,0.0012,0.8459
6001,"Alameda County, California",CALIFORNIA,0.0479,0.0749,0.0237,0.47,Moderate Vulnerability,0.53,Moderate Concern,0.684,0.2239,0.0031,0.2994,0.1033,0.008,0.3141
5127,"Scott County, Arkansas",ARKANSAS,0.2154,0.2653,0.1429,0.89,Very High Vulnerability,0.84,Very High Concern,0.295,0.077,0.019,0.0072,0.0024,0,0.8435
6031,"Kings County, California",CALIFORNIA,0.0892,0.1448,0.044,0.97,Very High Vulnerability,0.75,High Concern,0.311,0.5449,0.0085,0.0369,0.0583,0.0016,0.3221
5105,"Perry County, Arkansas",ARKANSAS,0.2091,0.2576,0.1378,0.64,High Vulnerability,0.65,High Concern,0.409,0.0293,0.0005,0,0.0054,0,0.9546
8029,"Delta County, Colorado",COLORADO,0.0768,0.1187,0.0474,0.69,High Vulnerability,0.45,Moderate Concern,0.302,0.1521,0.0071,0.0086,0.0058,0,0.8133
8059,"Jefferson County, Colorado",COLORADO,0.0648,0.0987,0.0386,0.06,Very Low Vulnerability,0.08,Very Low Concern,0.507,0.1537,0.0044,0.0278,0.0107,0.0005,0.7812
5117,"Prairie County, Arkansas",ARKANSAS,0.2265,0.2777,0.1509,0.65,High Vulnerability,0.7,High Concern,0.305,0.0173,0.0044,0.0021,0.1242,0,0.8465
6019,"Fresno County, California",CALIFORNIA,0.0706,0.1154,0.0345,0.96,Very High Vulnerability,0.77,High Concern,0.494,0.5306,0.0047,0.101,0.0449,0.0012,0.2942
6113,"Yolo County, California",CALIFORNIA,0.0606,0.0974,0.0299,0.68,High Vulnerability,0.57,Moderate Concern,0.555,0.3161,0.0031,0.1387,0.0243,0.0041,0.4668
6041,"Marin County, California",CALIFORNIA,0.0496,0.0725,0.025,0.27,Low Vulnerability,0.31,Low Concern,0.789,0.1598,0.0017,0.0581,0.0213,0.001,0.7115
6083,"Santa Barbara County, California",CALIFORNIA,0.0691,0.107,0.0343,0.71,High Vulnerability,0.54,Moderate Concern,0.589,0.4537,0.0036,0.0537,0.0189,0.0009,0.4451
5135,"Sharp County, Arkansas",ARKANSAS,0.2177,0.2654,0.1452,0.62,High Vulnerability,0.66,High Concern,0.3,0.0228,0.0033,0.0008,0.0072,0,0.9344
8021,"Conejos County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.93,Very High Vulnerability,0.74,High Concern,0.3,0.5245,0.0089,0.0016,0.0049,0.0033,0.4456
8051,"Gunnison County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.14,Very Low Vulnerability,0.18,Very Low Concern,0.394,0.0942,0.0091,0.0034,0.004,0.0021,0.8694
6095,"Solano County, California",CALIFORNIA,0.0628,0.0969,0.0312,0.59,Moderate Vulnerability,0.53,Moderate Concern,0.516,0.2645,0.0028,0.1499,0.135,0.0089,0.3804
6049,"Modoc County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.75,High Vulnerability,0.78,High Concern,,0.1449,0.0418,0.0111,0.0153,0.001,0.7769
8073,"Lincoln County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.49,Moderate Vulnerability,0.45,Moderate Concern,0.194,0.2254,0.0079,0.0041,0.0809,0.0023,0.6711
6105,"Trinity County, California",CALIFORNIA,0.0821,0.1284,0.041,0.74,High Vulnerability,0.9,Very High Concern,,0.073,0.055,0.0165,0.01,0.0022,0.821
8075,"Logan County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.63,High Vulnerability,0.35,Low Concern,0.202,0.1675,0.0076,0.0083,0.0083,0.0094,0.762
8041,"El Paso County, Colorado",COLORADO,0.0784,0.125,0.0465,0.39,Low Vulnerability,0.18,Very Low Concern,0.419,0.171,0.0035,0.0275,0.0599,0.0035,0.691
5079,"Lincoln County, Arkansas",ARKANSAS,0.2237,0.2767,0.1495,0.81,Very High Vulnerability,0.89,Very High Concern,0.252,0.0393,0.0047,0,0.3052,0,0.642
6075,"San Francisco County, California",CALIFORNIA,0.0388,0.0601,0.0192,0.39,Low Vulnerability,0.52,Moderate Concern,0.696,0.1524,0.0019,0.3407,0.05,0.0034,0.4051
5089,"Marion County, Arkansas",ARKANSAS,0.2042,0.2445,0.1346,0.52,Moderate Vulnerability,0.59,Moderate Concern,0.269,0.023,0.0065,0.0089,0.0049,0,0.941
6047,"Merced County, California",CALIFORNIA,0.0796,0.1262,0.039,0.97,Very High Vulnerability,0.81,Very High Concern,0.35,0.5963,0.0034,0.0724,0.0288,0.0022,0.2765
8043,"Fremont County, Colorado",COLORADO,0.0847,0.1288,0.0517,0.65,High Vulnerability,0.39,Low Concern,0.258,0.1329,0.0116,0.0066,0.0443,0.0001,0.7909
6097,"Sonoma County, California",CALIFORNIA,0.0611,0.0898,0.0301,0.4,Moderate Vulnerability,0.44,Moderate Concern,0.654,0.2673,0.0047,0.0402,0.0148,0.003,0.6323
8014,"Broomfield County, Colorado",COLORADO,0.0581,0.088,0.0346,0.05,Very Low Vulnerability,0.1,Very Low Concern,0.518,0.1238,0.0034,0.065,0.0114,0,0.7677
5133,"Sevier County, Arkansas",ARKANSAS,0.2154,0.2653,0.1429,0.77,High Vulnerability,0.77,High Concern,0.35,0.3343,0.0203,0.0044,0.0479,0.0047,0.5728
6003,"Alpine County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.73,High Vulnerability,0.9,Very High Concern,,0.1251,0.3022,0.0096,0.0087,0,0.5303
6067,"Sacramento County, California",CALIFORNIA,0.0687,0.1066,0.0337,0.73,High Vulnerability,0.58,Moderate Concern,0.525,0.2318,0.0036,0.1544,0.0949,0.0112,0.4472
5119,"Pulaski County, Arkansas",ARKANSAS,0.1775,0.2251,0.1126,0.63,High Vulnerability,0.42,Moderate Concern,0.466,0.0615,0.0024,0.022,0.3667,0.0003,0.5227
8083,"Montezuma County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.49,Moderate Vulnerability,0.4,Low Concern,0.39,0.1252,0.1205,0.0075,0.0024,0.0007,0.7243
5143,"Washington County, Arkansas",ARKANSAS,0.2044,0.2521,0.1334,0.67,High Vulnerability,0.45,Moderate Concern,0.405,0.1678,0.0078,0.0241,0.0358,0.0227,0.7089
6111,"Ventura County, California",CALIFORNIA,0.0612,0.0918,0.0298,0.48,Moderate Vulnerability,0.46,Moderate Concern,0.6,0.4268,0.0024,0.0717,0.0169,0.0017,0.4542
6057,"Nevada County, California",CALIFORNIA,0.0726,0.107,0.0363,0.2,Low Vulnerability,0.47,Moderate Concern,0.504,0.0944,0.0042,0.0105,0.0048,0.0012,0.8516
8005,"Arapahoe County, Colorado",COLORADO,0.0681,0.1073,0.0408,0.27,Low Vulnerability,0.17,Very Low Concern,0.41,0.1923,0.0038,0.0594,0.1049,0.0022,0.6028
5095,"Monroe County, Arkansas",ARKANSAS,0.2279,0.2857,0.152,0.85,Very High Vulnerability,0.76,High Concern,0.404,0.0064,0.003,0.0043,0.4298,0,0.5416
6033,"Lake County, California",CALIFORNIA,0.0859,0.1315,0.0422,0.92,Very High Vulnerability,0.82,Very High Concern,0.483,0.206,0.03,0.0107,0.0207,0.0007,0.705
8091,"Ouray County, Colorado",COLORADO,0.0768,0.1187,0.0474,0.02,Very Low Vulnerability,0.13,Very Low Concern,0.437,0.0202,0.0033,0.0073,0.0031,0.0006,0.957
8027,"Custer County, Colorado",COLORADO,0.0847,0.1288,0.0517,0.24,Low Vulnerability,0.33,Low Concern,0.257,0.0921,0.0092,0,0.0289,0,0.8515
8057,"Jackson County, Colorado",COLORADO,0.0652,0.0995,0.0382,0.11,Very Low Vulnerability,0.46,Moderate Concern,0.235,0.1745,0,0,0,0,0.8216
6081,"San Mateo County, California",CALIFORNIA,0.0428,0.0638,0.0215,0.26,Low Vulnerability,0.4,Moderate Concern,0.712,0.244,0.0015,0.2831,0.0218,0.0132,0.3924
8003,"Alamosa County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.95,Very High Vulnerability,0.58,Moderate Concern,0.329,0.4677,0.0191,0.0097,0.0049,0.0037,0.4763
5103,"Ouachita County, Arkansas",ARKANSAS,0.1967,0.2479,0.1296,0.87,Very High Vulnerability,0.63,High Concern,0.399,0.0234,0.0008,0.0008,0.414,0,0.5513
8067,"La Plata County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.11,Very Low Vulnerability,0.09,Very Low Concern,0.493,0.1278,0.0554,0.007,0.0044,0.0001,0.7855
6009,"Calaveras County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.23,Low Vulnerability,0.62,High Concern,0.415,0.1206,0.004,0.015,0.0069,0.0004,0.8094
8077,"Mesa County, Colorado",COLORADO,0.0869,0.136,0.053,0.58,Moderate Vulnerability,0.15,Very Low Concern,0.323,0.1454,0.0067,0.0093,0.0059,0.0011,0.8138
6073,"San Diego County, California",CALIFORNIA,0.0617,0.0952,0.0301,0.56,Moderate Vulnerability,0.55,Moderate Concern,0.445,0.337,0.0038,0.1163,0.0471,0.0038,0.4556
8065,"Lake County, Colorado",COLORADO,0.0847,0.1288,0.0517,0.45,Moderate Vulnerability,0.31,Low Concern,0.392,0.3236,0.0129,0.0084,0.0012,0.0004,0.6384
8019,"Clear Creek County, Colorado",COLORADO,0.0494,0.0717,0.0298,0.02,Very Low Vulnerability,0.19,Very Low Concern,0.283,0.0697,0.0011,0.0096,0.0108,0.0015,0.887
5081,"Little River County, Arkansas",ARKANSAS,0.2112,0.2589,0.1377,0.63,High Vulnerability,0.74,High Concern,0.238,0.0153,0.0104,0.0034,0.2195,0,0.7289
5141,"Van Buren County, Arkansas",ARKANSAS,0.2177,0.2654,0.1452,0.72,High Vulnerability,0.57,Moderate Concern,0.346,0.0312,0.0061,0.0022,0.0047,0.0013,0.9347
5145,"White County, Arkansas",ARKANSAS,0.2265,0.2777,0.1509,0.74,High Vulnerability,0.52,Moderate Concern,0.349,0.0434,0.0058,0.0074,0.0423,0,0.8807
6017,"El Dorado County, California",CALIFORNIA,0.0629,0.0916,0.0312,0.18,Very Low Vulnerability,0.43,Moderate Concern,0.516,0.1283,0.0055,0.045,0.0076,0.0025,0.7782
6055,"Napa County, California",CALIFORNIA,0.0565,0.0845,0.028,0.51,Moderate Vulnerability,0.47,Moderate Concern,0.663,0.3405,0.0029,0.0802,0.0199,0.002,0.5243
5111,"Poinsett County, Arkansas",ARKANSAS,0.2279,0.2857,0.152,0.83,Very High Vulnerability,0.71,High Concern,0.319,0.0304,0.0009,0.0005,0.0457,0,0.8681
5121,"Randolph County, Arkansas",ARKANSAS,0.2134,0.2631,0.1391,0.72,High Vulnerability,0.69,High Concern,0.228,0.0207,0.0064,0.0012,0.0109,0.0032,0.939
6015,"Del Norte County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.97,Very High Vulnerability,0.78,High Concern,0.323,0.1975,0.0707,0.0314,0.0327,0.0016,0.6193
6045,"Mendocino County, California",CALIFORNIA,0.0859,0.1315,0.0422,0.88,Very High Vulnerability,0.69,High Concern,0.563,0.2511,0.0337,0.0203,0.0072,0.0019,0.6519
8045,"Garfield County, Colorado",COLORADO,0.0832,0.1289,0.0501,0.35,Low Vulnerability,0.3,Low Concern,0.331,0.2843,0.0039,0.009,0.0048,0.0004,0.6814
5131,"Sebastian County, Arkansas",ARKANSAS,0.2068,0.2529,0.1342,0.83,Very High Vulnerability,0.55,Moderate Concern,0.29,0.1422,0.0103,0.0448,0.0671,0.0001,0.6956
6069,"San Benito County, California",CALIFORNIA,0.0772,0.1214,0.0381,0.52,Moderate Vulnerability,0.64,High Concern,0.507,0.5976,0.0031,0.0291,0.0075,0.0006,0.3429
5101,"Newton County, Arkansas",ARKANSAS,0.2042,0.2445,0.1346,0.28,Low Vulnerability,0.47,Moderate Concern,0.256,0.0042,0.0251,0.0065,0.0003,0.0077,0.9389
6035,"Lassen County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.6,Moderate Vulnerability,0.7,High Concern,0.296,0.1896,0.0274,0.0139,0.0848,0.008,0.6543
8097,"Pitkin County, Colorado",COLORADO,0.0652,0.0995,0.0382,0.07,Very Low Vulnerability,0.27,Low Concern,0.327,0.1009,0,0.0221,0.0092,0,0.8533
6025,"Imperial County, California",CALIFORNIA,0.0748,0.1236,0.036,1,Very High Vulnerability,0.9,Very High Concern,0.573,0.8421,0.0061,0.0131,0.0215,0.0013,0.1064
6099,"Stanislaus County, California",CALIFORNIA,0.078,0.123,0.038,0.87,Very High Vulnerability,0.65,High Concern,0.405,0.4626,0.0046,0.0539,0.0282,0.0067,0.4186
8035,"Douglas County, Colorado",COLORADO,0.0591,0.0863,0.0358,0.01,Very Low Vulnerability,0.09,Very Low Concern,0.512,0.0869,0.0025,0.0473,0.0133,0.0007,0.8223
6089,"Shasta County, California",CALIFORNIA,0.0805,0.1202,0.0396,0.7,High Vulnerability,0.57,Moderate Concern,0.386,0.1003,0.0218,0.0321,0.0113,0.0014,0.798
6079,"San Luis Obispo County, California",CALIFORNIA,0.0674,0.1022,0.0336,0.37,Low Vulnerability,0.39,Low Concern,0.489,0.2252,0.0054,0.0353,0.0174,0.0009,0.6889
5091,"Miller County, Arkansas",ARKANSAS,0.2112,0.2589,0.1377,0.91,Very High Vulnerability,0.71,High Concern,0.103,0.0333,0.0069,0.004,0.2464,0.0004,0.6847
6005,"Amador County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.53,Moderate Vulnerability,0.58,Moderate Concern,0.404,0.139,0.0065,0.0124,0.0221,0.0014,0.7816
8007,"Archuleta County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.26,Low Vulnerability,0.23,Low Concern,0.307,0.1837,0.0113,0.0095,0.014,0.0011,0.7633
8015,"Chaffee County, Colorado",COLORADO,0.0847,0.1288,0.0517,0.24,Low Vulnerability,0.23,Low Concern,0.324,0.1004,0.004,0.0142,0.0169,0,0.8493
8089,"Otero County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.96,Very High Vulnerability,0.71,High Concern,0.274,0.4189,0.0038,0.0087,0.0062,0.0007,0.5312
6109,"Tuolumne County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.47,Moderate Vulnerability,0.56,Moderate Concern,0.473,0.1224,0.0141,0.0135,0.0175,0.0023,0.8019
6059,"Orange County, California",CALIFORNIA,0.0537,0.0818,0.0264,0.42,Moderate Vulnerability,0.43,Moderate Concern,0.588,0.3405,0.0019,0.2029,0.0162,0.0028,0.4059
8025,"Crowley County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.89,Very High Vulnerability,0.62,High Concern,0.107,0.3186,0.0115,0.0054,0.0353,0,0.6152
8069,"Larimer County, Colorado",COLORADO,0.0684,0.1065,0.0407,0.12,Very Low Vulnerability,0.09,Very Low Concern,0.465,0.1151,0.005,0.0216,0.0093,0.0008,0.8259
8079,"Mineral County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.03,Very Low Vulnerability,0.21,Low Concern,0.431,0.0959,0,0.0049,0.0097,0,0.8641
5083,"Logan County, Arkansas",ARKANSAS,0.2154,0.2653,0.1429,0.8,Very High Vulnerability,0.62,High Concern,0.344,0.0298,0.0084,0.0219,0.0138,0,0.9044
6087,"Santa Cruz County, California",CALIFORNIA,0.0602,0.0906,0.0299,0.54,Moderate Vulnerability,0.48,Moderate Concern,0.635,0.3357,0.0015,0.0456,0.0091,0.0007,0.5727
5147,"Woodruff County, Arkansas",ARKANSAS,0.2265,0.2777,0.1509,0.85,Very High Vulnerability,0.74,High Concern,0.458,0.0046,0,0.009,0.2815,0,0.6939
8033,"Dolores County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.15,Very Low Vulnerability,0.35,Low Concern,0.229,0.0705,0.0167,0,0,0,0.8977
8055,"Huerfano County, Colorado",COLORADO,0.0847,0.1288,0.0517,0.6,Moderate Vulnerability,0.54,Moderate Concern,0.313,0.3429,0.0057,0,0.0015,0,0.6113
8099,"Prowers County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.94,Very High Vulnerability,0.56,Moderate Concern,0.245,0.3804,0.0039,0.0058,0.0079,0,0.5889
6023,"Humboldt County, California",CALIFORNIA,0.0821,0.125,0.0402,0.76,High Vulnerability,0.66,High Concern,0.525,0.1157,0.0461,0.03,0.0098,0.0032,0.7435
6053,"Monterey County, California",CALIFORNIA,0.0677,0.1061,0.0333,0.8,High Vulnerability,0.62,High Concern,0.576,0.5867,0.0019,0.0539,0.0248,0.0046,0.2993
5113,"Polk County, Arkansas",ARKANSAS,0.2154,0.2653,0.1429,0.89,Very High Vulnerability,0.66,High Concern,0.267,0.0659,0.0135,0.0028,0.0047,0,0.876
8001,"Adams County, Colorado",COLORADO,0.0777,0.1233,0.0465,0.59,Moderate Vulnerability,0.3,Low Concern,0.4,0.4003,0.0045,0.0387,0.032,0.0011,0.5002
6027,"Inyo County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.57,Moderate Vulnerability,0.56,Moderate Concern,,0.2236,0.1017,0.0181,0.0078,0.0019,0.6215
6061,"Placer County, California",CALIFORNIA,0.0581,0.0843,0.0289,0.15,Very Low Vulnerability,0.35,Low Concern,0.56,0.14,0.0036,0.0741,0.0165,0.0015,0.7266
5109,"Pike County, Arkansas",ARKANSAS,0.2112,0.2589,0.1377,0.71,High Vulnerability,0.76,High Concern,0.301,0.0651,0.0052,0.0043,0.0408,0,0.8737
8063,"Kit Carson County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.52,Moderate Vulnerability,0.62,High Concern,0.237,0.1908,0.0039,0.0019,0.025,0.0026,0.7696
5139,"Union County, Arkansas",ARKANSAS,0.1967,0.2479,0.1296,0.81,Very High Vulnerability,0.54,Moderate Concern,0.361,0.04,0.0074,0.0065,0.3266,0,0.6052
5099,"Nevada County, Arkansas",ARKANSAS,0.2112,0.2589,0.1377,0.88,Very High Vulnerability,0.75,High Concern,0.269,0.0002,0.0016,0.0004,0.3453,0.0002,0.6281
6071,"San Bernardino County, California",CALIFORNIA,0.074,0.1174,0.0361,0.9,Very High Vulnerability,0.69,High Concern,0.439,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853
8095,"Phillips County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.3,Low Vulnerability,0.3,Low Concern,0.284,0.2394,0,0.0051,0.0012,0,0.7408
6013,"Contra Costa County, California",CALIFORNIA,0.0543,0.0825,0.027,0.41,Moderate Vulnerability,0.47,Moderate Concern,0.7,0.2559,0.002,0.1648,0.084,0.0046,0.4383
8009,"Baca County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.61,High Vulnerability,0.61,High Concern,0.192,0.1095,0.016,0,0.0095,0.0008,0.8484
6101,"Sutter County, California",CALIFORNIA,0.0821,0.1288,0.041,0.88,Very High Vulnerability,0.62,High Concern,0.46,0.3095,0.0065,0.1552,0.0175,0.0039,0.4621
8017,"Cheyenne County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.26,Low Vulnerability,0.24,Low Concern,0.152,0.1708,0,0.0217,0.001,0.002,0.7779
6007,"Butte County, California",CALIFORNIA,0.079,0.1214,0.0392,0.81,Very High Vulnerability,0.66,High Concern,0.436,0.1635,0.0075,0.0445,0.0148,0.0021,0.7198
5129,"Searcy County, Arkansas",ARKANSAS,0.2042,0.2445,0.1346,0.44,Moderate Vulnerability,0.75,High Concern,0.309,0.0242,0.0176,0.007,0.0061,0,0.9313
6037,"Los Angeles County, California",CALIFORNIA,0.0602,0.0959,0.0291,0.77,High Vulnerability,0.71,High Concern,0.562,0.4849,0.0021,0.1443,0.0784,0.0024,0.262
8037,"Eagle County, Colorado",COLORADO,0.0652,0.0995,0.0382,0.14,Very Low Vulnerability,0.19,Very Low Concern,0.476,0.2959,0.002,0.0065,0.0112,0.0006,0.672
8087,"Morgan County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.74,High Vulnerability,0.29,Low Concern,0.315,0.3614,0.0019,0.0053,0.0364,0.0018,0.5819
5123,"St. Francis County, Arkansas",ARKANSAS,0.2279,0.2857,0.152,0.97,Very High Vulnerability,0.78,High Concern,0.359,0.0519,0.0029,0.0062,0.5314,0.0014,0.3997
5093,"Mississippi County, Arkansas",ARKANSAS,0.2168,0.2726,0.1417,0.96,Very High Vulnerability,0.79,High Concern,0.31,0.0413,0.0006,0.0056,0.3374,0.0008,0.5828
6077,"San Joaquin County, California",CALIFORNIA,0.0712,0.1143,0.0354,0.89,Very High Vulnerability,0.7,High Concern,0.433,0.414,0.0023,0.152,0.0674,0.0055,0.3185
8047,"Gilpin County, Colorado",COLORADO,0.0494,0.0717,0.0298,0,Very Low Vulnerability,0.17,Very Low Concern,0.407,0.0836,0.0203,0,0.0033,0,0.8529
6043,"Mariposa County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.53,Moderate Vulnerability,0.8,Very High Concern,,0.1127,0.0187,0.0121,0.0145,0.003,0.7999
6091,"Sierra County, California",CALIFORNIA,0.0726,0.107,0.0363,0.05,Very Low Vulnerability,0.78,High Concern,,0.1066,0.0095,0,0.0007,0,0.8757
5149,"Yell County, Arkansas",ARKANSAS,0.2091,0.2576,0.1378,0.88,Very High Vulnerability,0.79,High Concern,0.357,0.2015,0.0043,0.0099,0.0207,0,0.7527
8101,"Pueblo County, Colorado",COLORADO,0.0766,0.1254,0.0453,0.87,Very High Vulnerability,0.42,Moderate Concern,0.329,0.4299,0.0072,0.0063,0.0159,0.0007,0.5206
5137,"Stone County, Arkansas",ARKANSAS,0.2177,0.2654,0.1452,0.51,Moderate Vulnerability,0.65,High Concern,0.318,0.0195,0.0046,0.0051,0.0009,0,0.9465
6029,"Kern County, California",CALIFORNIA,0.0821,0.1331,0.0404,0.97,Very High Vulnerability,0.82,Very High Concern,0.408,0.5333,0.0048,0.0459,0.0516,0.0013,0.3416
5115,"Pope County, Arkansas",ARKANSAS,0.2091,0.2576,0.1378,0.79,High Vulnerability,0.61,High Concern,0.38,0.0902,0.0061,0.0103,0.0293,0,0.8401
8023,"Costilla County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.94,Very High Vulnerability,0.76,High Concern,0.348,0.6187,0.004,0.0128,0.0037,0,0.3338
5085,"Lonoke County, Arkansas",ARKANSAS,0.2095,0.2556,0.1359,0.33,Low Vulnerability,0.43,Moderate Concern,0.372,0.0447,0.0065,0.0078,0.0564,0.0027,0.86
8061,"Kiowa County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.32,Low Vulnerability,0.3,Low Concern,0.146,0.0484,0,0,0.004,0,0.9167
8081,"Moffat County, Colorado",COLORADO,0.0832,0.1289,0.0501,0.55,Moderate Vulnerability,0.55,Moderate Concern,0.227,0.1557,0.0054,0.0014,0.0099,0,0.8032
6085,"Santa Clara County, California",CALIFORNIA,0.0413,0.0631,0.0206,0.36,Low Vulnerability,0.42,Moderate Concern,0.734,0.2547,0.0017,0.3628,0.0235,0.0032,0.3154
6115,"Yuba County, California",CALIFORNIA,0.0821,0.1288,0.041,0.94,Very High Vulnerability,0.79,High Concern,0.366,0.2824,0.0078,0.0665,0.0334,0.0039,0.5519
8071,"Las Animas County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.84,Very High Vulnerability,0.77,High Concern,0.337,0.415,0.0168,0.0096,0.0075,0,0.5289
6021,"Glenn County, California",CALIFORNIA,0.0821,0.1284,0.041,0.89,Very High Vulnerability,0.87,Very High Concern,0.441,0.4175,0.014,0.0295,0.0069,0.0004,0.5147
5107,"Phillips County, Arkansas",ARKANSAS,0.2279,0.2857,0.152,0.92,Very High Vulnerability,0.73,High Concern,0.375,0.0188,0.0001,0,0.6315,0,0.345
6063,"Plumas County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.27,Low Vulnerability,0.54,Moderate Concern,,0.0895,0.0144,0.0114,0.0076,0.0046,0.8314
6051,"Mono County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.14,Very Low Vulnerability,0.68,High Concern,,0.2701,0.0169,0.0254,0.0041,0,0.6505
6107,"Tulare County, California",CALIFORNIA,0.0796,0.1284,0.0389,0.94,Very High Vulnerability,0.74,High Concern,0.429,0.6457,0.006,0.0324,0.0125,0.0014,0.2852
8031,"Denver County, Colorado",COLORADO,0.0658,0.1047,0.0382,0.42,Moderate Vulnerability,0.34,Low Concern,0.465,0.299,0.0045,0.0365,0.0889,0.0013,0.5417
8053,"Hinsdale County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.06,Very Low Vulnerability,0.24,Low Concern,0.304,0.0572,0.0175,0.0047,0,0,0.8996
6093,"Siskiyou County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.72,High Vulnerability,0.68,High Concern,0.433,0.1258,0.032,0.016,0.0157,0.0029,0.761
8011,"Bent County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.9,Very High Vulnerability,0.82,Very High Concern,0.101,0.3205,0.0041,0.0021,0.0365,0,0.6337
12091,"Okaloosa County, Florida",FLORIDA,0.1501,0.2094,0.0987,0.39,Low Vulnerability,0.64,High Concern,0.435,0.0926,0.0019,0.0295,0.0949,0.0009,0.7362
13097,"Douglas County, Georgia",GEORGIA,0.1391,0.2109,0.0864,0.54,Moderate Vulnerability,0.65,High Concern,0.223,0.0966,0.0007,0.0159,0.4593,0.0002,0.4052
13021,"Bibb County, Georgia",GEORGIA,0.149,0.2288,0.0933,0.92,Very High Vulnerability,0.67,High Concern,0.19,0.0325,0.0016,0.0202,0.5429,0.0005,0.3832
8103,"Rio Blanco County, Colorado",COLORADO,0.0832,0.1289,0.0501,0.34,Low Vulnerability,0.27,Low Concern,0.177,0.1026,0.0114,0.0013,0.0047,0,0.8465
12129,"Wakulla County, Florida",FLORIDA,0.1681,0.2345,0.1151,0.4,Moderate Vulnerability,0.73,High Concern,0.354,0.0373,0.002,0.0052,0.1495,0,0.7963
13051,"Chatham County, Georgia",GEORGIA,0.1451,0.216,0.0898,0.69,High Vulnerability,0.51,Moderate Concern,0.406,0.064,0.0023,0.0255,0.3943,0.0011,0.485
8113,"San Miguel County, Colorado",COLORADO,0.0768,0.1187,0.0474,0.03,Very Low Vulnerability,0.21,Low Concern,0.584,0.1067,0.0062,0.0168,0.0001,0,0.8584
13061,"Clay County, Georgia",GEORGIA,0.1556,0.2329,0.0991,0.93,Very High Vulnerability,0.92,Very High Concern,0.194,0.0037,0,0.0102,0.6239,0,0.3541
8123,"Weld County, Colorado",COLORADO,0.0759,0.1182,0.0456,0.4,Low Vulnerability,0.28,Low Concern,0.374,0.2945,0.0031,0.0153,0.0114,0.0009,0.656
12067,"Lafayette County, Florida",FLORIDA,0.1725,0.2418,0.1175,0.98,Very High Vulnerability,0.96,Very High Concern,0.293,0.1575,0.0015,0,0.159,0.0032,0.662
13105,"Elbert County, Georgia",GEORGIA,0.1503,0.215,0.0953,0.83,Very High Vulnerability,0.91,Very High Concern,0.14,0.057,0,0.0043,0.296,0,0.6351
